 Destination Port, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
51730,1000136,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,1.999728037,1000136.0,0.0,1000136,1000136,1000136,1000136.0,0.0,1000136,1000136,0,0.0,0.0,0,0,0,0,0,0,40,0,1.999728037,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,40,0,0,0,0,0,0,2,0,0,0,6141,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
22,1282888,41,44,2664,6954,456,0,64.97560976,109.864573,976,0,158.0454545,312.6752498,7497.147062,66.25675819,15272.47619,104905.213,955049,0,1282888,32072.2,159673.8176,996049,1,327725,7621.511628,21051.34246,121529,0,0,0,0,0,1328,1424,31.95914219,34.297616,0,976,111.8372093,239.6868477,57449.78495,0,0,0,1,0,0,0,0,1,113.1529412,64.97560976,158.0454545,1328,0,0,0,0,0,0,41,2664,44,6954,29200,243,24,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
54677,32452,3,1,18,6,6,6,6.0,0.0,6,6,6.0,0.0,739.5538025,123.2589671,10817.33333,17559.57828,31080,48,32452,16226.0,21074.61051,31128,1324,0,0.0,0.0,0,0,0,0,0,0,60,20,92.44422532,30.81474177,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,0,7.5,6.0,6.0,60,0,0,0,0,0,0,3,18,1,6,34626,64209,2,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,224,2,2,140,396,70,70,70.0,0.0,198,198,198.0,0.0,2392857.143,17857.14286,74.66666667,124.1303079,218,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0,0,0,64,64,8928.571429,8928.571429,70,198,121.2,70.10848736,4915.2,0,0,0,0,0,0,0,0,1,151.5,70.0,198.0,64,0,0,0,0,0,0,2,140,2,396,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
57480,72,2,1,12,6,6,6,6.0,0.0,6,6,6.0,0.0,250000.0,41666.6666666667,36.0,46.6690475583,69,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,0,0,0,0,40,20,27777.7777777778,13888.8888888889,6,6,6.0,0.0,0.0,0,0,0,0,1,1,0,0,0,8.0,6.0,6.0,40,0,0,0,0,0,0,2,12,1,6,32,32850,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
49786,70,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,28571.42857,70.0,0.0,70,70,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,14285.71429,14285.71429,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,332,229,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,428450,3,4,581,911,581,0,193.6666667,335.4405064,911,0,227.75,455.5,3482.319991,16.33796242,71408.33333,110126.0238,213673,4,213697,106848.5,150904.3653,213554,143,214964,71654.66667,123175.382,213884,4,0,0,0,0,104,136,7.001983895,9.335978527,0,911,186.5,356.4154879,127032.0,0,0,0,1,0,0,0,0,1,213.1428571,193.6666667,227.75,104,0,0,0,0,0,0,3,581,4,911,29200,4961,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,247,2,2,168,424,84,84,84.0,0.0,212,212,212.0,0.0,2396761.134,16194.33198,82.33333333,104.3567599,200,1,1,1.0,0.0,1,1,46,46.0,0.0,46,46,0,0,0,0,64,64,8097.165992,8097.165992,84,212,135.2,70.10848736,4915.2,0,0,0,0,0,0,0,0,1,169.0,84.0,212.0,64,0,0,0,0,0,0,2,168,2,424,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,23942,2,2,60,264,30,30,30.0,0.0,132,132,132.0,0.0,13532.70403,167.0704202,7980.666667,13817.72399,23936,3,3,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0,0,0,40,40,83.53521009,83.53521009,30,132,70.8,55.86770087,3121.2,0,0,0,0,0,0,0,0,1,88.5,30.0,132.0,40,0,0,0,0,0,0,2,60,2,264,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,257644,2,2,74,228,37,37,37.0,0.0,114,114,114.0,0.0,1172.160035,15.52529847,85881.33333,148585.4526,257453,0,0,0.0,0.0,0,0,191,191.0,0.0,191,191,0,0,0,0,64,64,7.762649237,7.762649237,37,114,67.8,42.17463693,1778.7,0,0,0,0,0,0,0,0,1,84.75,37.0,114.0,64,0,0,0,0,0,0,2,74,2,228,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
58608,56,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,35714.28571,56.0,0.0,56,56,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,17857.14286,17857.14286,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,122,351,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,60675,1,1,56,106,56,56,56.0,0.0,106,106,106.0,0.0,2669.9629171817,32.9625051504,60675.0,0.0,60675,60675,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,16.4812525752,16.4812525752,56,106,72.6666666667,28.8675134595,833.3333333333,0,0,0,0,0,0,0,0,1,109.0,56.0,106.0,32,0,0,0,0,0,0,1,56,1,106,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
1071,85,1,1,0,6,0,0,0.0,0.0,6,6,6.0,0.0,70588.23529,23529.41176,85.0,0.0,85,85,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,40,20,11764.70588,11764.70588,0,6,2.0,3.464101615,12.0,0,0,0,1,0,0,0,0,1,3.0,0.0,6.0,40,0,0,0,0,0,0,1,0,1,6,29200,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0,PortScan
